,company_name,company_rating,other_data
438,Zee Entertainment Enterprises,3.6,"Media & Entertainment , 1k-5k Employees , Public , 32 years old , Noida +28 more"
443,Ajnara India,3.5,"Real Estate , 201-500 Employees , Public , 33 years old , Noida +3 more"
455,Max Healthcare,4.1,"Healthcare , 1k-5k Employees , Fortune India 500 , 23 years old , Hyderabad / Secunderabad +59 more"
463,DENSO,4.2,"Auto Components , 1k-5k Employees , Public , 77 years old , Noida +34 more"
476,Polycab Wires,4.1,"Electrical Equipment , 1k-5k Employees , Fortune India 500 , 28 years old , Noida +123 more"
481,Siti Networks,4.0,"Media & Entertainment , 201-500 Employees , Public , 30 years old , Noida +49 more"
484,Onicra Credit Rating Agency,2.6,"FinTech , 501-1k Employees , Public , 31 years old , Noida +30 more"
485,Synopsys,4.0,"Software Product , 1k-5k Employees , Public , 38 years old , Noida +10 more"
488,Indus Towers,4.0,"Telecom , 1k-5k Employees , Fortune India 500 , 17 years old , Noida +159 more"
489,Oyo Rooms,3.4,"Hospitality , 1k-5k Employees , Indian Unicorn , 11 years old , Noida +113 more"
493,Sheela Foam,4.2,"Furniture & Furnishing , 1k-5k Employees , Public , 53 years old , Noida +77 more"
494,Healthcare At Home,3.6,"Healthcare , 1k-5k Employees , Startup , 12 years old , Noida +27 more"
496,Signify,3.6,"Consumer Electronics & Appliances , 1k-5k Employees , Conglomerate , 8 years old , Noida +62 more"
504,Hexaware Technologies,3.7,"IT Services & Consulting , 10k-50k Employees , Fortune India 500 , 34 years old , Noida +46 more"
506,Holostik,3.8,"Packaging , 1k-5k Employees , Public , 33 years old , Noida +11 more"
508,Nickelfox Technologies,3.8,"IT Services & Consulting , 51-200 Employees , Conglomerate , 10 years old , Noida +2 more"
514,Jubilant Ingrevia,3.9,"Chemicals , 201-500 Employees , Fortune India 500 , 4 years old , Noida +18 more"
515,Orient Electric,4.0,"Consumer Electronics & Appliances , 501-1k Employees , Public , 70 years old , Noida +54 more"
