,company_name,company_rating,other_data
369,Vakrangee,3.7,"BPO , 1k-5k Employees , Public , 34 years old , Mumbai +84 more"
376,Pantaloons,4.2,"Fashion & Textile , 5k-10k Employees , Public , 27 years old , Chennai +140 more"
383,Oyo Rooms,3.4,"Hospitality , 1k-5k Employees , Indian Unicorn , 11 years old , Mumbai +113 more"
385,Future Retail,4.3,"Retail , 10k-50k Employees , Public , 37 years old , Mumbai +196 more"
386,EPL Limited,4.0,"Packaging , 1k-5k Employees , Public , 40 years old , Mumbai +32 more"
388,IRB Infrastructure,4.2,"Engineering & Construction , 5k-10k Employees , Public , 26 years old , Mumbai +48 more"
392,Ericsson,4.3,"Telecom , 10k-50k Employees , Forbes Global 2000 , 148 years old , Mumbai +151 more"
393,Randstad,3.9,"Recruitment , 5k-10k Employees , Conglomerate , 32 years old , Mumbai +264 more"
394,Purplle.com,3.7,"Beauty & Personal Care , 201-500 Employees , Indian Unicorn , 13 years old , Mumbai +17 more"
397,Jana Small Finance Bank,3.9,"Banking , 10k-50k Employees , Public , 18 years old , Mumbai +354 more"
403,Jacobs Engineering Group,4.1,"Engineering & Construction , 1k-5k Employees , Forbes Global 2000 , 77 years old , Mumbai +36 more"
404,Ola Cabs,3.5,"Internet , 1k-5k Employees , Indian Unicorn , 14 years old , Mumbai +97 more"
410,Piramal Pharma,4.0,"Pharma , 1k-5k Employees , Public , 36 years old , Mumbai +51 more"
412,Reliance SMSL,4.0,"BPO , 1k-5k Employees , Public , 17 years old , Mumbai +489 more"
414,Birlasoft,3.8,"IT Services & Consulting , 10k-50k Employees , Public , 29 years old , Mumbai +35 more"
415,PVR Cinemas,4.1,"Media & Entertainment , 1k-5k Employees , Public , 27 years old , Mumbai +107 more"
417,MSCI,4.0,"Financial Services , 1k-5k Employees , Public , 55 years old , Mumbai +9 more"
421,Godrej Industries,4.2,"Chemicals , 1k-5k Employees , Public , 61 years old , Mumbai +53 more"
