,company_name,company_rating,industry,size,type,years_old,location
168,Polycab Wires,4.1,Electrical Equipment,1k-5k Employees,Fortune India 500,28,Noida
169,Siti Networks,4.0,Media & Entertainment,201-500 Employees,Public,30,Noida
170,Onicra Credit Rating Agency,2.6,FinTech,501-1k Employees,Public,31,Noida
171,Synopsys,4.0,Software Product,1k-5k Employees,Public,38,Noida
172,Indus Towers,4.0,Telecom,1k-5k Employees,Fortune India 500,17,Noida
173,Oyo Rooms,3.4,Hospitality,1k-5k Employees,Indian Unicorn,11,Noida
174,Sheela Foam,4.2,Furniture & Furnishing,1k-5k Employees,Public,53,Noida
175,Healthcare At Home,3.6,Healthcare,1k-5k Employees,Startup,12,Noida
176,Signify,3.6,Consumer Electronics & Appliances,1k-5k Employees,Conglomerate,8,Noida
177,Hexaware Technologies,3.7,IT Services & Consulting,10k-50k Employees,Fortune India 500,34,Noida
178,Holostik,3.8,Packaging,1k-5k Employees,Public,33,Noida
179,Nickelfox Technologies,3.8,IT Services & Consulting,51-200 Employees,Conglomerate,10,Noida
180,Jubilant Ingrevia,3.9,Chemicals,201-500 Employees,Fortune India 500,4,Noida
181,Orient Electric,4.0,Consumer Electronics & Appliances,501-1k Employees,Public,70,Noida
182,LambdaTest,4.4,Software Product,201-500 Employees,Startup,7,Noida
183,Wave Infratech,3.9,Real Estate,1k-5k Employees,Conglomerate,61,Noida
184,Saksoft,3.7,IT Services & Consulting,1k-5k Employees,Public,25,Noida
185,Testbook.com,3.7,EdTech,501-1k Employees,Startup,10,Noida
186,Yaantra,3.7,Internet,501-1k Employees,Startup,11,Noida
187,DiGiSPICE,3.6,Hardware & Networking,501-1k Employees,Public,24,Noida
188,Polyplex,4.4,Packaging,501-1k Employees,Public,40,Noida
189,Team Lease,4.0,Recruitment,1k-5k Employees,Public,8,Noida
190,SMC,3.9,Medical Equipment,201-500 Employees,Forbes Global 2000,36,Noida
191,Kotak Mahindra Prime,4.0,NBFC,5k-10k Employees,Public,28,Noida
192,Mphasis,3.5,IT Services & Consulting,10k-50k Employees,Public,26,Noida
193,Domino's Pizza,4.0,Hospitality,1k-5k Employees,Public,64,Noida
194,Country Holidays Travel India,4.3,Travel & Tourism,201-500 Employees,Startup,2,Noida
195,Luxor International,3.8,Retail,201-500 Employees,Conglomerate,44,Noida
196,APL Apollo Tubes,3.8,Building Material,1k-5k Employees,Public,38,Noida
197,Lifestyle,4.4,Retail,10k-50k Employees,Fortune India 500,25,Noida
198,UltraTech Cement,4.2,Building Material,10k-50k Employees,Public,41,Noida
199,Yamaha Motor,4.2,Automobile,1k-5k Employees,Fortune India 500,69,Noida
200,EMERSON PROCESS MANAGEMENT,4.1,Industrial Machinery,1k-5k Employees,Public,134,Noida
201,Maral Overseas,3.6,Fashion & Textile,1k-5k Employees,Public,33,Noida
202,Ksolves India Limited,2.8,IT Services & Consulting,201-500 Employees,Public,12,Noida
203,GAIL,4.5,Oil & Gas,1k-5k Employees,Fortune India 500,40,Noida
