,company_name,company_rating,industry,size,type,years_old,location
585,Marks & Spencer,4.0,Retail,1k-5k Employees,Forbes Global 2000,140,Ahmedabad
586,IRB Infrastructure,4.2,Engineering & Construction,5k-10k Employees,Public,26,Ahmedabad
587,A Infrastructure,4.1,Industrial Machinery,201-500 Employees,Public,44,Ahmedabad
588,A Infrastructure,4.1,Industrial Machinery,201-500 Employees,Public,44,Ahmedabad
589,Globe Textiles (India),4.3,Fashion & Textile,51-200 Employees,Public,11,Ahmedabad
590,NeoGrowth Credit,3.7,NBFC,501-1k Employees,Startup,11,Ahmedabad
591,Bajaj Auto,3.9,Automobile,5k-10k Employees,Public,79,Ahmedabad
592,Infibeam Avenues,3.4,IT Services & Consulting,501-1k Employees,Public,17,Ahmedabad
593,Care Health Insurance,3.8,Internet,5k-10k Employees,Public,12,Ahmedabad
594,Shadowfax Technologies,3.7,Logistics,1k-5k Employees,Public,9,Ahmedabad
595,Philips,3.9,Consumer Electronics & Appliances,5k-10k Employees,Forbes Global 2000,94,Ahmedabad
596,Religare,3.9,Financial Services,1k-5k Employees,Public,40,Ahmedabad
597,Progressive Infotech,3.5,IT Services & Consulting,1k-5k Employees,Forbes Global 2000,26,Ahmedabad
598,Gruh Finance,4.3,Financial Services,501-1k Employees,Public,36,Ahmedabad
599,Gokul Refoils & Solvent,3.8,FMCG,51-200 Employees,Public,32,Ahmedabad
600,Cil Nova Petrochemicals,3.2,Fashion & Textile,501-1k Employees,Public,10,Ahmedabad
601,Haier Appliances India,4.1,Consumer Electronics & Appliances,1k-5k Employees,Conglomerate,20,Ahmedabad
602,Nippon Express,4.2,Logistics,501-1k Employees,Public,77,Ahmedabad
603,Tata Housing Development Company,4.1,Real Estate,1k-5k Employees,Public,40,Ahmedabad
604,Vimta Labs,3.6,Other,1k-5k Employees,Public,40,Ahmedabad
605,Supreme Industries,4.2,Petrochemicals,5k-10k Employees,Public,82,Ahmedabad
606,Legrand,3.7,Electrical Equipment,1k-5k Employees,Forbes Global 2000,164,Ahmedabad
607,KDDI,4.4,Telecom,51-200 Employees,Forbes Global 2000,40,Ahmedabad
608,InCred Finance,4.0,NBFC,1k-5k Employees,Indian Unicorn,8,Ahmedabad
609,POSCO,4.2,Metals & Mining,51-200 Employees,Forbes Global 2000,56,Ahmedabad
610,Arvind Fashions,3.9,Fashion & Textile,1k-5k Employees,Public,31,Ahmedabad
611,Uniproducts,3.8,Auto Components,51-200 Employees,Public,42,Ahmedabad
612,Raymond,4.1,Fashion & Textile,5k-10k Employees,Public,99,Ahmedabad
613,Easy Home Finance,4.2,FinTech,501-1k Employees,Public,6,Ahmedabad
614,SML Isuzu,4.2,Automobile,501-1k Employees,Public,39,Ahmedabad
615,AstraZeneca,4.2,Pharma,501-1k Employees,Public,25,Ahmedabad
616,Rebel Foods,3.8,Internet,5k-10k Employees,Indian Unicorn,12,Ahmedabad
617,Redington,4.0,Hardware & Networking,1k-5k Employees,Public,25,Ahmedabad
618,Uniproducts,3.8,Auto Components,51-200 Employees,Public,42,Ahmedabad
619,AstraZeneca,4.2,Pharma,501-1k Employees,Public,25,Ahmedabad
620,BASF,4.5,Chemicals,1k-5k Employees,Fortune India 500,81,Ahmedabad
621,Quikr,3.9,Internet,1k-5k Employees,Indian Unicorn,16,Ahmedabad
622,DISH TV,3.6,Broadcasting,201-500 Employees,Public,21,Ahmedabad
623,Union Bank of India,4.1,Banking,50k-1 Lakh Employees,Public,105,Ahmedabad
624,GTL,4.2,Hardware & Networking,1k-5k Employees,Public,37,Ahmedabad
625,Gujarat Energy Transmission Corporation,4.4,Government,10k-50k Employees,State,25,Ahmedabad
626,Legrand,3.7,Electrical Equipment,1k-5k Employees,Forbes Global 2000,164,Ahmedabad
627,Raymond,4.1,Fashion & Textile,5k-10k Employees,Public,99,Ahmedabad
628,Shell,4.3,Oil & Gas,10k-50k Employees,Public,117,Ahmedabad
